Gene	Field	Nucleus ID	Mean Nascent RNA Signal	Mean PCNA Signal	Log2 Ratio
PIM2	field0	31	0.29043413492232384	0.06420695813307731	2.1774094678763625
PIM2	field0	32	0.3100533569283569	0.08880326037275912	1.8038319589621907
PIM2	field0	33	0.2439122290607439	0.053330892989761125	2.193318702256499
PIM2	field0	34	0.32081163732539875	0.0930868151472358	1.785077732500297
PIM2	field0	35	0.26790980169358547	0.06744106353064759	1.9900481717400127
PIM2	field0	36	0.3925097664035717	0.14290792747955922	1.4576426027474663
PIM2	field0	37	0.3341282458929518	0.10513910505545979	1.668102587767193
PIM2	field0	38	0.2937996135670555	0.08793613262896242	1.7403045080108557
PIM2	field0	39	0.49806858140191473	0.11318633572455115	2.1376446062558085
PIM2	field0	40	0.4217979447337246	0.09586878744492315	2.1374189751849664
PIM2	field0	41	0.4216841841841842	0.09409882687522218	2.1639142702901824
PIM2	field0	42	0.2998852511047632	0.1273818710458701	1.2352506013905047
PIM2	field0	43	0.3424939362439362	0.06368098662801827	2.4271438525403495
PIM2	field0	44	0.2503525264394829	0.10426745390191502	1.26367210995848
PIM2	field0	45	0.32723502190715303	0.10633300892227537	1.6217376373612669
PIM2	field0	46	0.17871621621621622	0.05301457518663349	1.753209590023374
PIM2	field0	47	0.3200311422533645	0.12224460507432423	1.3884415034524265
PIM2	field0	48	0.45870141986646834	0.09656621994277609	2.2479648632841034
PIM2	field0	49	0.23574249925601273	0.05400281191251685	2.126105433534185
PIM2	field0	50	0.45879141853718125	0.08720107009224726	2.3954206623936405
PIM2	field0	51	0.20945945945945948	0.06125406765293008	1.773793483268751
PIM2	field0	52	0.2654009149336252	0.11710649155622592	1.1803522933395838
PIM2	field0	53	0.2589688925566788	0.1104875672653954	1.228894773325048
PIM2	field0	54	0.26204954954954957	0.10561677923924635	1.311000576534528
PIM2	field0	55	0.27902902902902904	0.06619641888225718	2.0755901450830763
PIM2	field0	56	0.3668476168476168	0.1445334694534837	1.3437772983228449
PIM2	field0	57	0.22872681842147494	0.1388292632624429	0.7203138330749378
PIM2	field0	58	0.27454323482360865	0.05698841493599476	2.268292789920851
PIM2	field0	59	0.287331449096155	0.05214933467165748	2.4619951559697277
PIM2	field0	60	0.2550867193724337	0.0573068189238013	2.154209069369245
PIM2	field0	61	0.26918094565153383	0.0566348117633118	2.248815277091284
PIM2	field0	62	0.2307243140576474	0.1167412592936944	0.9828555094565631
PIM2	field0	63	0.2787314341368396	0.07284070419513007	1.93605893768177
PIM2	field0	64	0.3231880529177826	0.12606527608305068	1.3582029191366247
PIM2	field0	65	0.32524416308200094	0.12472016986769922	1.3828283681008522
PIM2	field0	66	0.4899348501043417	0.10580115324130701	2.211234564194233
PIM2	field0	67	0.2906231919993388	0.06799362070596215	2.095678534598522
PIM2	field0	68	0.21018133518133517	0.10610626486915148	0.9861247184401107
PIM2	field0	69	0.40277241527241525	0.11484180590117311	1.8103169582935847
PIM2	field0	70	0.2980690971345176	0.0748593811775103	1.9933917815918365
PIM2	field0	71	0.28903188903188903	0.0623635163272561	2.2124544938826927
PIM2	field0	72	0.2220814564564565	0.04760264841805901	2.2219751879819394
PIM2	field0	73	0.2331045331045331	0.06560018959592369	1.8292051707382393
PIM2	field0	74	0.3423264814109884	0.1135697941649184	1.5917937231188848
PIM2	field0	75	0.33849849849849856	0.06857447564877356	2.3034058436166083
PIM2	field0	76	0.2889775020922562	0.06826910188644059	2.0816525004967183
